Iteration 1 (train) | acc1 = 8.06158 | acc2 = 16.32570 | acc3 = 17.40598 | acc4 = 22.83438 
Iteration 2 (train) | acc1 = 31.03099 | acc2 = 58.38228 | acc3 = 54.27047 | acc4 = 68.96901 
Iteration 3 (train) | acc1 = 51.18493 | acc2 = 78.27291 | acc3 = 73.02005 | acc4 = 85.63230 
Iteration 4 (train) | acc1 = 65.41760 | acc2 = 85.93613 | acc3 = 82.37796 | acc4 = 91.52657 
Iteration 5 (train) | acc1 = 74.10033 | acc2 = 90.51381 | acc3 = 87.14469 | acc4 = 94.89569 
Iteration 6 (train) | acc1 = 80.60901 | acc2 = 93.69388 | acc3 = 91.37128 | acc4 = 96.91446 
Iteration 7 (train) | acc1 = 84.78158 | acc2 = 95.30079 | acc3 = 93.47782 | acc4 = 98.05550 
Iteration 8 (train) | acc1 = 88.13720 | acc2 = 96.63088 | acc3 = 95.23327 | acc4 = 98.70367 
Iteration 9 (train) | acc1 = 90.56782 | acc2 = 97.67740 | acc3 = 96.26629 | acc4 = 99.04125 
Iteration 10 (train) | acc1 = 92.11397 | acc2 = 97.93397 | acc3 = 97.00223 | acc4 = 99.24381 
Iteration 11 (train) | acc1 = 93.41705 | acc2 = 98.56188 | acc3 = 97.76517 | acc4 = 99.53413 
Iteration 12 (train) | acc1 = 94.36230 | acc2 = 98.53487 | acc3 = 98.19053 | acc4 = 99.43961 
Iteration 13 (train) | acc1 = 95.82743 | acc2 = 98.91297 | acc3 = 98.62940 | acc4 = 99.56114 
Iteration 14 (train) | acc1 = 96.33381 | acc2 = 99.07501 | acc3 = 98.58889 | acc4 = 99.57464 
Iteration 15 (train) | acc1 = 96.99548 | acc2 = 99.25731 | acc3 = 98.91297 | acc4 = 99.68942 
Iteration 16 (train) | acc1 = 97.46135 | acc2 = 99.29782 | acc3 = 99.04125 | acc4 = 99.68267 
Iteration 17 (train) | acc1 = 97.60988 | acc2 = 99.37209 | acc3 = 99.18304 | acc4 = 99.71643 
Iteration 18 (train) | acc1 = 97.92046 | acc2 = 99.51387 | acc3 = 99.24381 | acc4 = 99.72993 
